Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取り扱い,取り扱い,トリアツカイ,取り扱い,名詞,普通名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
古本,古本,フルホン,古本,名詞,普通名詞,一般,*,*,*,False,*,*
買取,買い取り,カイトリ,買取,名詞,普通名詞,一般,*,*,*,False,*,*
バリュー,バリュー,バリュー,バリュー,名詞,普通名詞,一般,*,*,*,False,*,*
ブックス,ブックス,ブックス,ブックス,名詞,普通名詞,一般,*,*,*,False,*,*
買取,買い取り,カイトリ,買取,名詞,普通名詞,一般,*,*,*,False,*,*
こちら,此方,コチラ,こちら,代名詞,*,*,*,*,*,False,*,*
ライブラリ,ライブラリー,ライブラリ,ライブラリ,名詞,普通名詞,一般,*,*,*,False,*,*
読みもの,読み物,ヨミモノ,読みもの,名詞,普通名詞,一般,*,*,*,False,*,*
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
新規登録,新規登録,シンキトウロク,新規登録,名詞,普通名詞,サ変可能,*,*,*,False,新規-登録,新規-登録
商品,商品,ショウヒン,商品,名詞,普通名詞,一般,*,*,*,False,*,*
見つかり,見付かる,ミツカリ,見つかる,動詞,一般,*,*,五段-ラ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
キーワード,キーワード,キーワード,キーワード,名詞,普通名詞,一般,*,*,*,False,*,*
変更,変更,ヘンコウ,変更,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
直し,直す,ナオシ,直す,動詞,非自立可能,*,*,五段-サ行,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
ページ,ページ,ページ,ページ,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
上部,上部,ジョウブ,上部,名詞,普通名詞,一般,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
スキャン,スキャン,スキャン,スキャン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
写真,写真,シャシン,写真,名詞,普通名詞,一般,*,*,*,False,*,*
ご,御,ゴ,ご,接頭辞,*,*,*,*,*,False,*,*
用意,用意,ヨウイ,用意,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
選択,選択,センタク,選択,名詞,普通名詞,サ変可能,*,*,*,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,終止形-一般,False,*,*
スマホ,スマホ,スマホ,スマホ,名詞,普通名詞,一般,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
撮影,撮影,サツエイ,撮影,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
すぐ,直ぐ,スグ,すぐ,副詞,*,*,*,*,*,False,*,*
査定,査定,サテイ,査定,名詞,普通名詞,サ変可能,*,*,*,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
本,本,ホン,本,名詞,普通名詞,一般,*,*,*,False,*,*
背表紙,背表紙,セビョウシ,背表紙,名詞,固有名詞,一般,*,*,*,False,*,*
スキャン,スキャン,スキャン,スキャン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
い,居る,イ,いる,動詞,非自立可能,*,*,上一段-ア行,連用形-一般,False,*,*
…,.,．,.,補助記号,句点,*,*,*,*,False,*,*
,.,．,.,補助記号,句点,*,*,*,*,False,*,*
,.,．,.,補助記号,句点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
アップロードに失敗,アップロードに失敗,アップロードニシッパイ,アップロードに失敗,名詞,固有名詞,一般,*,*,*,False,アップロード-に-失敗,アップロード-に-失敗
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
しばらく,暫く,シバラク,しばらく,副詞,*,*,*,*,*,False,*,*
待っ,待つ,マッ,待つ,動詞,一般,*,*,五段-タ行,連用形-促音便,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
再度,再度,サイド,再度,名詞,普通名詞,副詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
ためし,試す,タメシ,ためす,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
また,又,マタ,また,接続詞,*,*,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
スキャン,スキャン,スキャン,スキャン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
詳しく,詳しい,クワシク,詳しい,形容詞,一般,*,*,形容詞,連用形-一般,False,*,*
よくある質問,よくある質問,ヨクアルシツモン,よくある質問,名詞,固有名詞,一般,*,*,*,False,よく-ある-質問,よく-ある-質問
ご覧,御覧,ゴラン,ご覧,名詞,普通名詞,一般,*,*,*,False,*,*
下さい,下さる,クダサイ,下さる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
商品,商品,ショウヒン,商品,名詞,普通名詞,一般,*,*,*,False,*,*
見つかり,見付かる,ミツカリ,見つかる,動詞,一般,*,*,五段-ラ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
変更,変更,ヘンコウ,変更,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
ためし,試す,タメシ,ためす,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
また,又,マタ,また,接続詞,*,*,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
スキャン,スキャン,スキャン,スキャン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
詳しく,詳しい,クワシク,詳しい,形容詞,一般,*,*,形容詞,連用形-一般,False,*,*
よくある質問,よくある質問,ヨクアルシツモン,よくある質問,名詞,固有名詞,一般,*,*,*,False,よく-ある-質問,よく-ある-質問
ご覧,御覧,ゴラン,ご覧,名詞,普通名詞,一般,*,*,*,False,*,*
下さい,下さる,クダサイ,下さる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
ファイル,ファイル,ファイル,ファイル,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サイズ,サイズ,サイズ,サイズ,名詞,普通名詞,一般,*,*,*,False,*,*
大き,大きい,オオキ,大きい,形容詞,一般,*,*,形容詞,語幹-一般,False,*,*
すぎ,過ぎる,スギ,すぎる,動詞,非自立可能,*,*,上一段-ガ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
解像度,解像度,カイゾウド,解像度,名詞,普通名詞,一般,*,*,*,False,*,解像-度
下げ,下げる,サゲ,下げる,動詞,一般,*,*,下一段-ガ行,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
再度,再度,サイド,再度,名詞,普通名詞,副詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
ためし,試す,タメシ,ためす,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
また,又,マタ,また,接続詞,*,*,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
スキャン,スキャン,スキャン,スキャン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
詳しく,詳しい,クワシク,詳しい,形容詞,一般,*,*,形容詞,連用形-一般,False,*,*
よくある質問,よくある質問,ヨクアルシツモン,よくある質問,名詞,固有名詞,一般,*,*,*,False,よく-ある-質問,よく-ある-質問
ご覧,御覧,ゴラン,ご覧,名詞,普通名詞,一般,*,*,*,False,*,*
下さい,下さる,クダサイ,下さる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
本棚,本棚,ホンダナ,本棚,名詞,普通名詞,一般,*,*,*,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
読み取る,読み取る,ヨミトル,読み取る,動詞,一般,*,*,五段-ラ行,連体形-一般,False,*,読み-取る
でき,出来る,デキ,できる,動詞,非自立可能,*,*,上一段-カ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
しばらく,暫く,シバラク,しばらく,副詞,*,*,*,*,*,False,*,*
待っ,待つ,マッ,待つ,動詞,一般,*,*,五段-タ行,連用形-促音便,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
再度,再度,サイド,再度,名詞,普通名詞,副詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
ためし,試す,タメシ,ためす,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
