Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取り扱い,取り扱い,トリアツカイ,取り扱い,名詞,普通名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
ソニー・ピクチャーズ,Sony Pictures,ソニー・ピクチャーズ,ソニー・ピクチャーズ,名詞,固有名詞,一般,*,*,*,False,ソニー-・-ピクチャーズ,ソニー-・-ピクチャーズ
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
Sony,ソニー,ソニー,SONY,名詞,固有名詞,一般,*,*,*,False,*,*
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
エンタテインメント,エンターテインメント,エンタテインメント,エンタテインメント,名詞,普通名詞,一般,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
海外ドラマ,海外ドラマ,カイガイドラマ,海外ドラマ,名詞,固有名詞,一般,*,*,*,False,海外-ドラマ,海外-ドラマ
TV,TV,ティーブイ,TV,名詞,普通名詞,一般,*,*,*,False,*,*
シリーズ,シリーズ,シリーズ,シリーズ,名詞,普通名詞,一般,*,*,*,False,*,*
アニメ,アニメ,アニメ,アニメ,名詞,普通名詞,一般,*,*,*,False,*,*
コーポレート,コーポレート,コーポレート,コーポレート,名詞,普通名詞,一般,*,*,*,False,*,*
会社概要,会社概要,カイシャガイヨウ,会社概要,名詞,普通名詞,一般,*,*,*,False,会社-概要,会社-概要
最新,最新,サイシン,最新,名詞,普通名詞,一般,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
ヒストリー,ヒストリー,ヒストリー,ヒストリー,名詞,普通名詞,一般,*,*,*,False,*,*
採用情報,採用情報,サイヨウジョウホウ,採用情報,名詞,固有名詞,一般,*,*,*,False,採用-情報,採用-情報
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
問い合わせ,問い合わせ,トイアワセ,問い合わせ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
toggle,トグル,トグル,toggle,名詞,普通名詞,一般,*,*,*,False,*,*
menu,メニュー,メニュー,menu,名詞,普通名詞,一般,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取り扱い,取り扱い,トリアツカイ,取り扱い,名詞,普通名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取り扱い,取り扱い,トリアツカイ,取り扱い,名詞,普通名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
プライバシー,プライバシー,プライバシー,プライバシー,名詞,普通名詞,一般,*,*,*,False,*,*
COOKIE,cookie,クッキー,cookie,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
株式会社,株式会社,カブシキガイシャ,株式会社,名詞,普通名詞,一般,*,*,*,False,株式-会社,株式-会社
ソニー・ピクチャーズ,Sony Pictures,ソニー・ピクチャーズ,ソニー・ピクチャーズ,名詞,固有名詞,一般,*,*,*,False,ソニー-・-ピクチャーズ,ソニー-・-ピクチャーズ
エンタテインメント,エンターテインメント,エンタテインメント,エンタテインメント,名詞,普通名詞,一般,*,*,*,False,*,*
個人情報保護法,個人情報保護法,コジンジョウホウホゴホウ,個人情報保護法,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護-法,個人-情報-保護-法
基づく,基づく,モトヅク,基づく,動詞,一般,*,*,五段-カ行,連体形-一般,False,*,*
公表,公表,コウヒョウ,公表,名詞,普通名詞,サ変可能,*,*,*,False,*,*
事項,事項,ジコウ,事項,名詞,普通名詞,一般,*,*,*,False,*,*
等,等,トウ,等,接尾辞,名詞的,一般,*,*,*,False,*,*
関する,関する,カンスル,関する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
ご,御,ゴ,ご,接頭辞,*,*,*,*,*,False,*,*
案内,案内,アンナイ,案内,名詞,普通名詞,サ変可能,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取り扱い,取り扱い,トリアツカイ,取り扱い,名詞,普通名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
株式会社,株式会社,カブシキガイシャ,株式会社,名詞,普通名詞,一般,*,*,*,False,株式-会社,株式-会社
ソニー・ピクチャーズ,Sony Pictures,ソニー・ピクチャーズ,ソニー・ピクチャーズ,名詞,固有名詞,一般,*,*,*,False,ソニー-・-ピクチャーズ,ソニー-・-ピクチャーズ
エンタテインメント,エンターテインメント,エンタテインメント,エンタテインメント,名詞,普通名詞,一般,*,*,*,False,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
弊社,弊社,ヘイシャ,弊社,名詞,普通名詞,一般,*,*,*,False,*,*
いい,言う,イイ,いう,動詞,一般,*,*,五段-ワア行,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
重要性,重要性,ジュウヨウセイ,重要性,名詞,普通名詞,一般,*,*,*,False,*,重要-性
深く,深い,フカク,深い,形容詞,一般,*,*,形容詞,連用形-一般,False,*,*
認識,認識,ニンシキ,認識,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
その,其の,ソノ,その,連体詞,*,*,*,*,*,False,*,*
保護,保護,ホゴ,保護,名詞,普通名詞,サ変可能,*,*,*,False,*,*
取り組む,取り組む,トリクム,取り組む,動詞,一般,*,*,五段-マ行,連体形-一般,False,*,取り-組む
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
重要,重要,ジュウヨウ,重要,形状詞,一般,*,*,*,*,False,*,*
責務,責務,セキム,責務,名詞,普通名詞,一般,*,*,*,False,*,*
ある,有る,アル,ある,動詞,非自立可能,*,*,五段-ラ行,終止形-一般,False,*,*
考え,考える,カンガエ,考える,動詞,一般,*,*,下一段-ア行,連用形-一般,False,*,*
い,居る,イ,いる,動詞,非自立可能,*,*,上一段-ア行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
弊社,弊社,ヘイシャ,弊社,名詞,普通名詞,一般,*,*,*,False,*,*
この,此の,コノ,この,連体詞,*,*,*,*,*,False,*,*
ため,為,タメ,ため,名詞,普通名詞,副詞可能,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
個人情報の保護に関する法律,個人情報の保護に関する法律,コジンジョウホウノホゴニカンスルホウリツ,個人情報の保護に関する法律,名詞,普通名詞,一般,*,*,*,False,個人-情報-の-保護-に-関する-法律,個人-情報-の-保護-に-関する-法律
基づく,基づく,モトヅク,基づく,動詞,一般,*,*,五段-カ行,連体形-一般,False,*,*
所定,所定,ショテイ,所定,名詞,普通名詞,一般,*,*,*,False,*,*
事項,事項,ジコウ,事項,名詞,普通名詞,一般,*,*,*,False,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
とおり,通り,トオリ,とおり,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
公表,公表,コウヒョウ,公表,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
全社,全社,ゼンシャ,全社,名詞,普通名詞,一般,*,*,*,False,*,*
徹底,徹底,テッテイ,徹底,名詞,普通名詞,サ変可能,*,*,*,False,*,*
図る,図る,ハカル,図る,動詞,一般,*,*,五段-ラ行,終止形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
関係,関係,カンケイ,関係,名詞,普通名詞,サ変可能,*,*,*,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*
各種,各種,カクシュ,各種,名詞,普通名詞,一般,*,*,*,False,*,*
事業者,事業者,ジギョウシャ,事業者,名詞,普通名詞,一般,*,*,*,False,*,事業-者
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
業界団体,業界団体,ギョウカイダンタイ,業界団体,名詞,固有名詞,一般,*,*,*,False,業界-団体,業界-団体
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
行政機関,行政機関,ギョウセイキカン,行政機関,名詞,固有名詞,一般,*,*,*,False,行政-機関,行政-機関
等,等,トウ,等,接尾辞,名詞的,一般,*,*,*,False,*,*
協力,協力,キョウリョク,協力,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様
信頼,信頼,シンライ,信頼,名詞,普通名詞,サ変可能,*,*,*,False,*,*
得,得る,エ,得る,動詞,非自立可能,*,*,下一段-ア行,未然形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
保護,保護,ホゴ,保護,名詞,普通名詞,サ変可能,*,*,*,False,*,*
努め,努める,ツトメ,努める,動詞,一般,*,*,下一段-マ行,連用形-一般,False,*,*
まいり,参る,マイリ,まいる,動詞,非自立可能,*,*,五段-ラ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
株式会社,株式会社,カブシキガイシャ,株式会社,名詞,普通名詞,一般,*,*,*,False,株式-会社,株式-会社
ソニー・ピクチャーズ,Sony Pictures,ソニー・ピクチャーズ,ソニー・ピクチャーズ,名詞,固有名詞,一般,*,*,*,False,ソニー-・-ピクチャーズ,ソニー-・-ピクチャーズ
エンタテインメント,エンターテインメント,エンタテインメント,エンタテインメント,名詞,普通名詞,一般,*,*,*,False,*,*
代表取締役,代表取締役,ダイヒョウトリシマリヤク,代表取締役,名詞,普通名詞,一般,*,*,*,False,代表-取締役,代表-取締-役
仲澤,仲澤,ナカサワ,仲澤,名詞,固有名詞,人名,姓,*,*,False,*,*
直美,直美,ナオミ,直美,名詞,固有名詞,人名,名,*,*,False,*,*
運用,運用,ウンヨウ,運用,名詞,普通名詞,サ変可能,*,*,*,False,*,*
