surface,normalized,dictionary,pos
전남대학교,전남대학교,전남대학교,Noun
생활협동조합,생활협동조합,생활협동조합,Noun
전남대학교,전남대학교,전남대학교,Noun
생활협동조합,생활협동조합,생활협동조합,Noun
전남대학교,전남대학교,전남대학교,Noun
바로가기,바로가기,바로가기,Noun
매장,매장,매장,Noun
안내,안내,안내,Noun
매장,매장,매장,Noun
안내,안내,안내,Noun
확대,확대,확대,Noun
출력,출력,출력,Noun
신청,신청,신청,Noun
도서,도서,도서,Noun
검색,검색,검색,Noun
조합원,조합원,조합원,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
가입,가입,가입,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
탈퇴,탈퇴,탈퇴,Noun
안내,안내,안내,Noun
출자,출자,출자,Noun
금,금,금,Noun
증감,증감,증감,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
조합,조합,조합,Noun
원증,원증,원증,Noun
재발,재발,재발,Noun
급,급,급,Suffix
안내,안내,안내,Noun
소속,소속,소속,Noun
변동,변동,변동,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
정보,정보,정보,Noun
변경,변경,변경,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
질문,질문,질문,Noun
답변,답변,답변,Noun
자유게시판,자유게시판,자유게시판,Noun
월별,월별,월별,Noun
행사,행사,행사,Noun
안내,안내,안내,Noun
기념품,기념품,기념품,Noun
안내,안내,안내,Noun
설문,설문,설문,Noun
조사,조사,조사,Noun
생협,생협,생협,Noun
소개,소개,소개,Noun
생협,생협,생협,Noun
이란,이란,이란,Josa
설립,설립,설립,Noun
취지,취지,취지,Noun
목적,목적,목적,Noun
정관,정관,정관,Noun
규정,규정,규정,Noun
조합,조합,조합,Noun
현황,현황,현황,Noun
발자취,발자취,발자취,Noun
찾아오시는,찾아오시는,찾아오다,Verb
길,길,길,Noun
매장,매장,매장,Noun
안내,안내,안내,Noun
매장,매장,매장,Noun
안내,안내,안내,Noun
확대,확대,확대,Noun
출력,출력,출력,Noun
신청,신청,신청,Noun
도서,도서,도서,Noun
검색,검색,검색,Noun
조합원,조합원,조합원,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
가입,가입,가입,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
탈퇴,탈퇴,탈퇴,Noun
안내,안내,안내,Noun
출자,출자,출자,Noun
금,금,금,Noun
증감,증감,증감,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
조합,조합,조합,Noun
원증,원증,원증,Noun
재발,재발,재발,Noun
급,급,급,Suffix
안내,안내,안내,Noun
소속,소속,소속,Noun
변동,변동,변동,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
조합원,조합원,조합원,Noun
정보,정보,정보,Noun
변경,변경,변경,Noun
신청,신청,신청,Noun
안내,안내,안내,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
질문,질문,질문,Noun
답변,답변,답변,Noun
자유게시판,자유게시판,자유게시판,Noun
월별,월별,월별,Noun
행사,행사,행사,Noun
안내,안내,안내,Noun
기념품,기념품,기념품,Noun
안내,안내,안내,Noun
설문,설문,설문,Noun
조사,조사,조사,Noun
생협,생협,생협,Noun
소개,소개,소개,Noun
생협,생협,생협,Noun
이란,이란,이란,Josa
설립,설립,설립,Noun
취지,취지,취지,Noun
목적,목적,목적,Noun
정관,정관,정관,Noun
규정,규정,규정,Noun
조합,조합,조합,Noun
현황,현황,현황,Noun
발자취,발자취,발자취,Noun
찾아오시는,찾아오시는,찾아오다,Verb
길,길,길,Noun
회원,회원,회원,Noun
로그인,로그인,로그인,Noun
아이디,아이디,아이디,Noun
비밀번호,비밀번호,비밀번호,Noun
찾기,찾기,찾기,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
홈,홈,홈,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
전남대학교,전남대학교,전남대학교,Noun
생활협동조합,생활협동조합,생활협동조합,Noun
은,은,은,Josa
회원,회원,회원,Noun
님,님,님,Suffix
들의,들의,들다,Verb
권익,권익,권익,Noun
보호,보호,보호,Noun
하고,하고,하고,Josa
",",",",",",Punctuation
회원,회원,회원,Noun
님,님,님,Suffix
들의,들의,들다,Verb
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
만전,만전,만전,Noun
기하,기하,기하,Noun
고자,고자,고자,Noun
",",",",",",Punctuation
관계,관계,관계,Noun
법령,법령,법령,Noun
규정,규정,규정,Noun
반영,반영,반영,Noun
하여,하여,하다,Verb
약관,약관,약관,Noun
정,정,정,Noun
하였습니다,하였습니다,하다,Verb
.,.,.,Punctuation
2009,2009,2009,Number
.,.,.,Punctuation
4,4,4,Number
.,.,.,Punctuation
30,30,30,Number
약관,약관,약관,Noun
적용,적용,적용,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
1조,1조,1조,Number
목적,목적,목적,Noun
조합,조합,조합,Noun
은,은,은,Josa
회원,회원,회원,Noun
가입,가입,가입,Noun
",",",",",",Punctuation
상담,상담,상담,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
신청,신청,신청,Noun
위해,위해,위해,Noun
아래,아래,아래,Noun
같은,같은,같다,Adjective
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
①,①,①,Foreign
전남대학교,전남대학교,전남대학교,Noun
생활협동조합,생활협동조합,생활협동조합,Noun
http,http,http,Alpha
"""/","""/","""/",Foreign
/coop.chonnam.ac.kr,/coop.chonnam.ac.kr,/coop.chonnam.ac.kr,URL
서비스,서비스,서비스,Noun
약관,약관,약관,Noun
이하,이하,이하,Noun
본,본,보다,Verb
약관,약관,약관,Noun
이라,이라,이르다,Verb
합니다,합니다,하다,Verb
은,은,은,Noun
이용자,이용자,이용자,Noun
전남대학교,전남대학교,전남대학교,Noun
생활협동조합,생활협동조합,생활협동조합,Noun
이하,이하,이하,Noun
조합,조합,조합,Noun
이라,이라,이르다,Verb
합니다,합니다,하다,Verb
제공,제공,제공,Noun
하는,하는,하다,Verb
인터넷,인터넷,인터넷,Noun
관련,관련,관련,Noun
서비스,서비스,서비스,Noun
이하,이하,이하,Noun
서비스,서비스,서비스,Noun
라,라,라,Josa
합니다,합니다,하다,Verb
이용,이용,이용,Noun
함,함,함,Noun
있어,있어,있다,Adjective
이용자,이용자,이용자,Noun
조합,조합,조합,Noun
권리,권리,권리,Noun
의무,의무,의무,Noun
책임,책임,책임,Noun
사항,사항,사항,Noun
규정,규정,규정,Noun
함,함,함,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
②,②,②,Foreign
이용자,이용자,이용자,Noun
되고자,되고자,되다,Verb
하는,하는,하다,Verb
자가,자가,자가,Noun
조합,조합,조합,Noun
정,정,정,Noun
한,한,한,Josa
소정,소정,소정,Noun
절차,절차,절차,Noun
거쳐서,거쳐서,거치다,Verb
회원,회원,회원,Noun
가입,가입,가입,Noun
하시면,하시면,하다,Verb
본,본,보다,Verb
약관,약관,약관,Noun
동의,동의,동의,Noun
하는,하는,하다,Verb
간주,간주,간주,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
본,본,보다,Verb
약관,약관,약관,Noun
정,정,정,Noun
하는,하는,하다,Verb
이외,이외,이외,Noun
이용자,이용자,이용자,Noun
조합,조합,조합,Noun
권리,권리,권리,Noun
",",",",",",Punctuation
의무,의무,의무,Noun
책임,책임,책임,Noun
사항,사항,사항,Noun
관,관,관,Noun
해서는,해서는,하다,Verb
전기통신사업법,전기통신사업법,전기통신사업법,Noun
대한민국,대한민국,대한민국,Noun
관련,관련,관련,Noun
법령,법령,법령,Noun
상관,상관,상관,Noun
습,습,습,Noun
의합니다,의합니다,의하다,Adjective
.,.,.,Punctuation
2조,2조,2조,Number
이용자,이용자,이용자,Noun
정의,정의,정의,Noun
①,①,①,Foreign
이용자,이용자,이용자,Noun
란,란,란,Noun
당,당,당,Noun
웹사이트,웹사이트,웹사이트,Noun
접속,접속,접속,Noun
하여,하여,하다,Verb
본,본,보다,Verb
약관,약관,약관,Noun
조합,조합,조합,Noun
회원,회원,회원,Noun
또는,또는,또는,Adverb
조합원,조합원,조합원,Noun
가입,가입,가입,Noun
하여,하여,하다,Verb
조합,조합,조합,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
서비스,서비스,서비스,Noun
받는,받는,받다,Verb
자를,자를,자르다,Verb
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
3조,3조,3조,Number
회원,회원,회원,Noun
가입,가입,가입,Noun
①,①,①,Foreign
이용자,이용자,이용자,Noun
되고자,되고자,되다,Verb
하는,하는,하다,Verb
자는,자는,자다,Verb
조합,조합,조합,Noun
정,정,정,Noun
한,한,한,Josa
가입,가입,가입,Noun
양식,양식,양식,Noun
회원정보,회원정보,회원정보,Noun
기입,기입,기입,Noun
하고,하고,하고,Josa
최종,최종,최종,Noun
승인,승인,승인,Noun
함,함,함,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
신청,신청,신청,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
②,②,②,Foreign
조합,조합,조합,Noun
은,은,은,Noun
1,1,1,Number
항,항,항,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
할,할,하다,Verb
신청,신청,신청,Noun
한,한,한,Josa
자가,자가,자가,Noun
호에,호에,호에,Exclamation
해당,해당,해당,Noun
하지,하지,하다,Verb
않는,않는,않다,Verb
한,한,하다,Verb
신청,신청,신청,Noun
한,한,한,Josa
자를,자를,자르다,Verb
회원,회원,회원,Noun
등록,등록,등록,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
가입,가입,가입,Noun
신청,신청,신청,Noun
본,본,보다,Verb
약관,약관,약관,Noun
6조,6조,6조,Number
3,3,3,Number
항,항,항,Noun
의하여,의하여,의하다,Adjective
이전,이전,이전,Noun
회원,회원,회원,Noun
자격,자격,자격,Noun
상실한,상실한,상실하다,Adjective
적,적,적,Noun
있는,있는,있다,Adjective
경우,경우,경우,Noun
.,.,.,Punctuation
6조,6조,6조,Number
3,3,3,Number
항,항,항,Noun
의한,의한,의하다,Adjective
회원,회원,회원,Noun
자격,자격,자격,Noun
상실,상실,상실,Noun
후,후,후,Noun
1년,1년,1년,Number
경과,경과,경과,Noun
한,한,한,Josa
자로,자로,자로,Noun
서,서,서,Josa
조합,조합,조합,Noun
회원,회원,회원,Noun
재,재,재,Noun
가입,가입,가입,Noun
승낙,승낙,승낙,Noun
얻은,얻은,얻다,Verb
경우,경우,경우,Noun
에는,에는,에는,Josa
예외,예외,예외,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
등록,등록,등록,Noun
내용,내용,내용,Noun
허위,허위,허위,Noun
",",",",",",Punctuation
기재,기재,기재,Noun
누락,누락,누락,Noun
",",",",",",Punctuation
오기,오기,오기,Noun
있는,있는,있다,Adjective
경우,경우,경우,Noun
3,3,3,Number
.,.,.,Punctuation
회원,회원,회원,Noun
등록,등록,등록,Noun
하는,하는,하다,Verb
조합,조합,조합,Noun
기술,기술,기술,Noun
상,상,상,Suffix
현저,현저,현저,Noun
히,히,히,Adverb
지장,지장,지장,Noun
있다고,있다고,있다,Adjective
판단,판단,판단,Noun
되는,되는,되다,Verb
경우,경우,경우,Noun
③,③,③,Foreign
회원,회원,회원,Noun
가입,가입,가입,Noun
계약,계약,계약,Noun
성립,성립,성립,Noun
시기,시기,시기,Noun
는,는,는,Josa
조합,조합,조합,Noun
승낙,승낙,승낙,Noun
가입,가입,가입,Noun
신청,신청,신청,Noun
도달,도달,도달,Noun
한,한,한,Josa
시점,시점,시점,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
④,④,④,Foreign
회원,회원,회원,Noun
은,은,은,Josa
1,1,1,Number
항의,항의,항의,Noun
회원정보,회원정보,회원정보,Noun
기재,기재,기재,Noun
내용,내용,내용,Noun
변경,변경,변경,Noun
발생,발생,발생,Noun
한,한,한,Josa
경우,경우,경우,Noun
",",",",",",Punctuation
변경,변경,변경,Noun
사항,사항,사항,Noun
정정,정정,정정,Noun
하여,하여,하다,Verb
기재,기재,기재,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
4조,4조,4조,Number
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
변경,변경,변경,Noun
①,①,①,Foreign
조합,조합,조합,Noun
은,은,은,Noun
이용자,이용자,이용자,Noun
아래,아래,아래,Noun
같은,같은,같다,Adjective
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
회원,회원,회원,Noun
가입,가입,가입,Noun
탈퇴,탈퇴,탈퇴,Noun
2,2,2,Number
.,.,.,Punctuation
정보,정보,정보,Noun
열람,열람,열람,Noun
3,3,3,Number
.,.,.,Punctuation
본인,본인,본인,Noun
글,글,글,Noun
게시,게시,게시,Noun
4,4,4,Number
.,.,.,Punctuation
조합,조합,조합,Noun
행사,행사,행사,Noun
신청,신청,신청,Noun
메일,메일,메일,Noun
수신,수신,수신,Noun
이동통신,이동통신,이동통신,Noun
핸드폰,핸드폰,핸드폰,Noun
PCS,PCS,PCS,Alpha
문자,문자,문자,Noun
메세지,메세지,메세지,Noun
발송,발송,발송,Noun
할,할,하다,Verb
수,수,수,Noun
있는,있는,있다,Adjective
SMS,SMS,SMS,Alpha
서비스,서비스,서비스,Noun
비롯,비롯,비롯,Noun
한,한,한,Josa
무선인터넷,무선인터넷,무선인터넷,Noun
서비스,서비스,서비스,Noun
5,5,5,Number
.,.,.,Punctuation
조합,조합,조합,Noun
자체,자체,자체,Noun
개발,개발,개발,Noun
거나,거나,거나,Noun
회사,회사,회사,Noun
와의,와의,와의,Josa
협력,협력,협력,Noun
계약,계약,계약,Noun
통해,통해,통해,Noun
회원,회원,회원,Noun
제공,제공,제공,Noun
할,할,하다,Verb
일체,일체,일체,Noun
서비스,서비스,서비스,Noun
②,②,②,Foreign
조합,조합,조합,Noun
은,은,은,Noun
변경,변경,변경,Noun
될,될,되다,Verb
서비스,서비스,서비스,Noun
내용,내용,내용,Noun
공,공,공,Modifier
일자,일자,일자,Noun
7조,7조,7조,Number
2,2,2,Number
항,항,항,Noun
정,정,정,Noun
한,한,한,Josa
방법,방법,방법,Noun
이용자,이용자,이용자,Noun
통지,통지,통지,Noun
하고,하고,하고,Josa
",",",",",",Punctuation
1,1,1,Number
항,항,항,Noun
정,정,정,Noun
한,한,한,Josa
서비스,서비스,서비스,Noun
변경,변경,변경,Noun
하여,하여,하다,Verb
제공,제공,제공,Noun
할,할,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
③,③,③,Foreign
조합,조합,조합,Noun
은,은,은,Noun
이용자,이용자,이용자,Noun
당,당,당,Noun
웹사이트,웹사이트,웹사이트,Noun
이용,이용,이용,Noun
원활한,원활한,원활하다,Adjective
수행,수행,수행,Noun
저해,저해,저해,Noun
하는,하는,하다,Verb
3,3,3,Number
이용자,이용자,이용자,Noun
간,간,간,Suffix
이용자,이용자,이용자,Noun
간,간,간,Suffix
스팸메일,스팸메일,스팸메일,Noun
",",",",",",Punctuation
대량,대량,대량,Noun
메일,메일,메일,Noun
전송,전송,전송,Noun
행위,행위,행위,Noun
방지,방지,방지,Noun
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
여러가지,여러가지,여러가지,Noun
기술,기술,기술,Noun
적,적,적,Suffix
",",",",",",Punctuation
제도,제도,제도,Noun
적,적,적,Suffix
정책,정책,정책,Noun
온라인,온라인,온라인,Noun
우표,우표,우표,Noun
",",",",",",Punctuation
스팸메일,스팸메일,스팸메일,Noun
방지,방지,방지,Noun
정책,정책,정책,Noun
시행,시행,시행,Noun
할,할,하다,Verb
수,수,수,Noun
있으며,있으며,있다,Adjective
",",",",",",Punctuation
이로,이로,이로,Noun
인하여,인하여,인하다,Adjective
이용자,이용자,이용자,Noun
는,는,늘다,Verb
당,당,당,Noun
웹사이트,웹사이트,웹사이트,Noun
이용,이용,이용,Noun
조합,조합,조합,Noun
제한,제한,제한,Noun
받을,받을,받다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
5조,5조,5조,Number
서비스,서비스,서비스,Noun
중단,중단,중단,Noun
조합,조합,조합,Noun
은,은,은,Josa
조합원,조합원,조합원,Noun
개인정보,개인정보,개인정보,Noun
원칙,원칙,원칙,Noun
적,적,적,Suffix
외부,외부,외부,Noun
제공,제공,제공,Noun
하지,하지,하다,Verb
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
