surface,normalized,dictionary,pos
아이스크림,아이스크림,아이스크림,Noun
아이스크림,아이스크림,아이스크림,Noun
몰,몰,몰다,Verb
아이스크림,아이스크림,아이스크림,Noun
교과서,교과서,교과서,Noun
연,연,연,Modifier
수원,수원,수원,Noun
쌤,쌤,쌤,Noun
튜브,튜브,튜브,Noun
아이스크림,아이스크림,아이스크림,Noun
몰,몰,몰다,Verb
하이,하이,하이,Noun
클래스,클래스,클래스,Noun
띵커벨,띵커벨,띵커벨,Noun
클래스,클래스,클래스,Noun
툴,툴,툴,Noun
콜,콜,콜,Noun
교원,교원,교원,Noun
안심,안심,안심,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
마이,마이,마이,Noun
페이지,페이지,페이지,Noun
회원정보,회원정보,회원정보,Noun
주문,주문,주문,Noun
조회,조회,조회,Noun
장바구니,장바구니,장바구니,Noun
0,0,0,Number
고객,고객,고객,Noun
센터,센터,센터,Noun
1,1,1,Number
제니튼,제니튼,제니튼,Noun
2,2,2,Number
보드게임,보드게임,보드게임,Noun
3,3,3,Number
크리스마스,크리스마스,크리스마스,Noun
4,4,4,Number
여름방학,여름방학,여름방학,Noun
▲,▲,▲,Foreign
5,5,5,Number
부채,부채,부채,Noun
6,6,6,Number
여름,여름,여름,Noun
만들기,만들기,만들기,Noun
▼,▼,▼,Foreign
7,7,7,Number
환경,환경,환경,Noun
교육,교육,교육,Noun
8,8,8,Number
화이트보드,화이트보드,화이트보드,Noun
9,9,9,Number
2,2,2,Number
학기,학기,학기,Noun
준비물,준비물,준비물,Noun
10,10,10,Number
패들렛,패들렛,패들렛,Noun
실시간,실시간,실시간,Noun
검색어,검색어,검색어,Noun
2024.06,2024.06,2024.06,Number
.,.,.,Punctuation
27,27,27,Number
18:00,18:00,18:00,Number
기준,기준,기준,Noun
여름방학,여름방학,여름방학,Noun
크리스마스,크리스마스,크리스마스,Noun
2,2,2,Number
학기,학기,학기,Noun
학습,학습,학습,Noun
준비물,준비물,준비물,Noun
보드게임,보드게임,보드게임,Noun
부채,부채,부채,Noun
전체,전체,전체,Noun
카테고리,카테고리,카테고리,Noun
베스트,베스트,베스트,Noun
아이스크림,아이스크림,아이스크림,Noun
PB,PB,PB,Alpha
체험,체험,체험,Noun
단,단,단,Noun
수업,수업,수업,Noun
활용,활용,활용,Noun
팁,팁,팁,Noun
전국,전국,전국,Noun
교실,교실,교실,Noun
자랑,자랑,자랑,Noun
쌤,쌤,쌤,Noun
마켓,마켓,마켓,Noun
에듀,에듀,에듀,Noun
테크,테크,테크,Noun
학년,학년,학년,Noun
별,별,별,Noun
1,1,1,Number
학년,학년,학년,Noun
2,2,2,Number
학년,학년,학년,Noun
3,3,3,Number
학년,학년,학년,Noun
4,4,4,Number
학년,학년,학년,Noun
5,5,5,Number
학년,학년,학년,Noun
6,6,6,Number
학년,학년,학년,Noun
테마,테마,테마,Noun
별,별,별,Noun
신,신,신,Modifier
학기,학기,학기,Noun
준비,준비,준비,Noun
나라,나라,나라,Noun
사랑,사랑,사랑,Noun
과학의날,과학의날,과학의날,Noun
식물,식물,식물,Noun
키우기,키우기,키우다,Verb
운동회,운동회,운동회,Noun
체육대회,체육대회,체육대회,Noun
가정,가정,가정,Noun
달,달,달,Noun
단오,단오,단오,Noun
학교,학교,학교,Noun
안전,안전,안전,Noun
여름,여름,여름,Noun
만들기,만들기,만들기,Noun
에듀,에듀,에듀,Noun
테크,테크,테크,Noun
홈,홈,홈,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
회원,회원,회원,Noun
되셔서,되셔서,되다,Verb
회원,회원,회원,Noun
등급,등급,등급,Noun
할인,할인,할인,Noun
할인,할인,할인,Noun
쿠폰,쿠폰,쿠폰,Noun
마일리지,마일리지,마일리지,Noun
다양한,다양한,다양하다,Adjective
서비스,서비스,서비스,Noun
받으세요,받으세요,받다,Verb
.,.,.,Punctuation
STEP,STEP,STEP,Alpha
1,1,1,Number
가입,가입,가입,Noun
방법,방법,방법,Noun
선택,선택,선택,Noun
STEP,STEP,STEP,Alpha
2,2,2,Number
이용,이용,이용,Noun
약관,약관,약관,Noun
동의,동의,동의,Noun
STEP,STEP,STEP,Alpha
3,3,3,Number
본인,본인,본인,Noun
인증,인증,인증,Noun
STEP,STEP,STEP,Alpha
4,4,4,Number
회원정보,회원정보,회원정보,Noun
입력,입력,입력,Noun
STEP,STEP,STEP,Alpha
5,5,5,Number
회원,회원,회원,Noun
가입,가입,가입,Noun
완료,완료,완료,Noun
앞서가는,앞서가는,앞서다,Verb
선생님,선생님,선생님,Noun
수업,수업,수업,Noun
파트너,파트너,파트너,Noun
아이스크림,아이스크림,아이스크림,Noun
몰,몰,몰다,Verb
오신,오신,오신,Noun
환영,환영,환영,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
회원,회원,회원,Noun
분류,분류,분류,Noun
선택,선택,선택,Noun
i,i,i,Alpha
Scream,Scream,Scream,Alpha
회원,회원,회원,Noun
선생님,선생님,선생님,Noun
은,은,은,Josa
별도,별도,별도,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
없이,없이,없이,Adverb
i,i,i,Alpha
Scream,Scream,Scream,Alpha
통합,통합,통합,Noun
아이디,아이디,아이디,Noun
이용,이용,이용,Noun
하실,하실,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회원,회원,회원,Noun
유형,유형,유형,Noun
가입,가입,가입,Noun
방법,방법,방법,Noun
다릅니다,다릅니다,다르다,Adjective
.,.,.,Punctuation
해당,해당,해당,Noun
하는,하는,하다,Verb
회원,회원,회원,Noun
유형,유형,유형,Noun
선택,선택,선택,Noun
해,해,하다,Verb
주세요,주세요,줄다,Verb
.,.,.,Punctuation
신규,신규,신규,Noun
회원,회원,회원,Noun
혜택,혜택,혜택,Noun
마일리지,마일리지,마일리지,Noun
"1,000","1,000","1,000",Number
원,원,원,Noun
개인,개인,개인,Noun
