surface,normalized,dictionary,pos
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
메인,메인,메인,Noun
메뉴,메뉴,메뉴,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
열기,열기,열기,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
Always,Always,Always,Alpha
with,with,with,Alpha
you,you,you,Alpha
JPS,JPS,JPS,Alpha
",",",",",",Punctuation
언제나,언제나,언제나,Adverb
곁,곁,곁,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
﻿,﻿,﻿,Foreign
기계,기계,기계,Noun
경비,경비,경비,Noun
인력,인력,인력,Noun
경비,경비,경비,Noun
CCTV,CCTV,CCTV,Alpha
",",",",",",Punctuation
GATE,GATE,GATE,Alpha
정보통,정보통,정보통,Noun
신,신,신,Modifier
공사,공사,공사,Noun
청소용역,청소용역,청소용역,Noun
서비스,서비스,서비스,Noun
토탈,토탈,토탈,Noun
아웃소싱,아웃소싱,아웃소싱,Noun
CCTV,CCTV,CCTV,Alpha
",",",",",",Punctuation
GATE,GATE,GATE,Alpha
정보통,정보통,정보통,Noun
신,신,신,Modifier
공사,공사,공사,Noun
소프트웨어,소프트웨어,소프트웨어,Noun
하드웨어,하드웨어,하드웨어,Noun
활용,활용,활용,Noun
효율,효율,효율,Noun
적,적,적,Suffix
이고,이고,이고,Josa
편리한,편리한,편리하다,Adjective
관리,관리,관리,Noun
제공,제공,제공,Noun
해,해,하다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
Full,Full,Full,Alpha
HD,HD,HD,Alpha
고화질,고화질,고화질,Noun
영상,영상,영상,Noun
고화질,고화질,고화질,Noun
영상,영상,영상,Noun
저장,저장,저장,Noun
사고,사고,사고,Noun
발생,발생,발생,Noun
시,시,시,Noun
선명한,선명한,선명하다,Adjective
증거,증거,증거,Noun
자료,자료,자료,Noun
야간,야간,야간,Noun
고성능,고성능,고성능,Noun
영상,영상,영상,Noun
감시,감시,감시,Noun
가능합니다,가능합니다,가능하다,Adjective
.,.,.,Punctuation
실시간,실시간,실시간,Noun
영상,영상,영상,Noun
조회,조회,조회,Noun
PC,PC,PC,Alpha
",",",",",",Punctuation
스마트폰,스마트폰,스마트폰,Noun
서나,서나,서나,Noun
Full,Full,Full,Alpha
HD,HD,HD,Alpha
고화질,고화질,고화질,Noun
영상,영상,영상,Noun
조회,조회,조회,Noun
가능합니다,가능합니다,가능하다,Adjective
.,.,.,Punctuation
저장장치,저장장치,저장장치,Noun
인터넷,인터넷,인터넷,Noun
연결,연결,연결,Noun
되어,되어,되어다,Verb
있는,있는,있다,Adjective
경우,경우,경우,Noun
사용,사용,사용,Noun
가능,가능,가능,Noun
출입,출입,출입,Noun
관리,관리,관리,Noun
사무실,사무실,사무실,Noun
현관,현관,현관,Noun
주요,주요,주요,Noun
출입문,출입문,출입문,Noun
전용,전용,전용,Noun
리더,리더,리더,Noun
기를,기를,기르다,Verb
설치,설치,설치,Noun
하여,하여,하다,Verb
사전,사전,사전,Noun
등록,등록,등록,Noun
된,된,되다,Verb
인원,인원,인원,Noun
만,만,만,Josa
출입,출입,출입,Noun
할,할,하다,Verb
수,수,수,Noun
있도록,있도록,있다,Adjective
합니다,합니다,하다,Verb
.,.,.,Punctuation
근,근,근,Modifier
태,태,태,Noun
