surface,normalized,dictionary,pos
파일,파일,파일,Noun
맨,맨,맨,Noun
FileMan,FileMan,FileMan,Alpha
스크립트,스크립트,스크립트,Noun
해제,해제,해제,Noun
하여,하여,하다,Verb
불펌,불펌,불펌,Noun
하실,하실,하다,Verb
수,수,수,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
파일,파일,파일,Noun
맨,맨,맨,Noun
시,시,시,Modifier
작,작,작,Modifier
페이지,페이지,페이지,Noun
즐겨찾기,즐겨찾기,즐겨찾기,Noun
추가,추가,추가,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
친구,친구,친구,Noun
관리,관리,관리,Noun
쪽지,쪽지,쪽지,Noun
관리,관리,관리,Noun
쿠폰,쿠폰,쿠폰,Noun
등록,등록,등록,Noun
전체,전체,전체,Noun
자료,자료,자료,Noun
패킷,패킷,패킷,Noun
충전,충전,충전,Noun
마이,마이,마이,Noun
페이지,페이지,페이지,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
전체,전체,전체,Noun
영화,영화,영화,Noun
퀴어,퀴어,퀴어,Noun
드라마,드라마,드라마,Noun
동영상,동영상,동영상,Noun
게임,게임,게임,Noun
애니,애니,애니,Noun
유틸리티,유틸리티,유틸리티,Noun
이미지,이미지,이미지,Noun
성인,성인,성인,Noun
요청,요청,요청,Noun
자료,자료,자료,Noun
제목,제목,제목,Noun
번호,번호,번호,Noun
닉네임,닉네임,닉네임,Noun
파일명,파일명,파일명,Noun
전체,전체,전체,Noun
영화,영화,영화,Noun
퀴어,퀴어,퀴어,Noun
드라마,드라마,드라마,Noun
방송,방송,방송,Noun
게임,게임,게임,Noun
애니,애니,애니,Noun
교육,교육,교육,Noun
이미지,이미지,이미지,Noun
19,19,19,Number
성인,성인,성인,Noun
자료,자료,자료,Noun
요청,요청,요청,Noun
테스트,테스트,테스트,Noun
페이지,페이지,페이지,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
영화,영화,영화,Noun
퀴어,퀴어,퀴어,Noun
드라마,드라마,드라마,Noun
방송,방송,방송,Noun
게임,게임,게임,Noun
애니,애니,애니,Noun
유틸,유틸,유틸,Noun
교육,교육,교육,Noun
이미지,이미지,이미지,Noun
영화,영화,영화,Noun
최신,최신,최신,Noun
한국영,한국영,한국영,Noun
화,화,화,Suffix
공포,공포,공포,Noun
스릴러,스릴러,스릴러,Noun
SF,SF,SF,Alpha
환타지,환타지,환타지,Noun
코미디,코미디,코미디,Noun
액션,액션,액션,Noun
멜로,멜로,멜로,Noun
애니,애니,애니,Noun
퀴어,퀴어,퀴어,Noun
한국,한국,한국,Noun
퀴어,퀴어,퀴어,Noun
해외,해외,해외,Noun
퀴어,퀴어,퀴어,Noun
드라마,드라마,드라마,Noun
미니시리즈,미니시리즈,미니시리즈,Noun
시트콤,시트콤,시트콤,Noun
연속극,연속극,연속극,Noun
사극,사극,사극,Noun
미드,미드,미드,Noun
일드,일드,일드,Noun
방송,방송,방송,Noun
예능,예능,예능,Noun
교양,교양,교양,Noun
스포츠,스포츠,스포츠,Noun
다큐,다큐,다큐,Noun
가족,가족,가족,Noun
시사,시사,시사,Noun
게임,게임,게임,Noun
액션,액션,액션,Noun
시뮬레이션,시뮬레이션,시뮬레이션,Noun
롤플레잉,롤플레잉,롤플레잉,Noun
어드벤쳐,어드벤쳐,어드벤쳐,Noun
스포츠,스포츠,스포츠,Noun
애니,애니,애니,Noun
코미디,코미디,코미디,Noun
액션,액션,액션,Noun
연애,연애,연애,Noun
SF,SF,SF,Alpha
판타지,판타지,판타지,Noun
공포,공포,공포,Noun
스릴러,스릴러,스릴러,Noun
스포츠,스포츠,스포츠,Noun
교육,교육,교육,Noun
어학,어학,어학,Noun
컴퓨터,컴퓨터,컴퓨터,Noun
이미지,이미지,이미지,Noun
배경,배경,배경,Noun
화보,화보,화보,Noun
만화,만화,만화,Noun
성인,성인,성인,Noun
요청,요청,요청,Noun
자료,자료,자료,Noun
1,1,1,Number
조,조,조,Noun
목적,목적,목적,Noun
본,본,보다,Verb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
은,은,은,Josa
이하,이하,이하,Noun
약관,약관,약관,Noun
”,”,”,Foreign
주식회사,주식회사,주식회사,Noun
엘코,엘코,엘코,Noun
네트웍,네트웍,네트웍,Noun
스,스,스,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
라,라,라,Josa
함,함,함,Noun
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
파일,파일,파일,Noun
맨,맨,맨,Noun
웹사이트,웹사이트,웹사이트,Noun
fileman.co.kr,fileman.co.kr,fileman.co.kr,URL
이하,이하,이하,Noun
사이트,사이트,사이트,Noun
”,”,”,Foreign
관련,관련,관련,Noun
하여,하여,하다,Verb
",",",",",",Punctuation
회사,회사,회사,Noun
이용,이용,이용,Noun
고객,고객,고객,Noun
또는,또는,또는,Adverb
회원,회원,회원,Noun
간,간,간,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
조건,조건,조건,Noun
",",",",",",Punctuation
가입,가입,가입,Noun
조건,조건,조건,Noun
절차,절차,절차,Noun
기본,기본,기본,Noun
적,적,적,Suffix
인,인,인,Josa
제반,제반,제반,Noun
사항,사항,사항,Noun
회사,회사,회사,Noun
회원,회원,회원,Noun
간,간,간,Suffix
권리,권리,권리,Noun
",",",",",",Punctuation
의무,의무,의무,Noun
",",",",",",Punctuation
책임,책임,책임,Noun
관,관,관,Noun
한,한,한,Josa
사항,사항,사항,Noun
구체,구체,구체,Noun
적,적,적,Suffix
규정,규정,규정,Noun
함,함,함,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
조,조,조,Noun
약관,약관,약관,Noun
효력,효력,효력,Noun
변경,변경,변경,Noun
1,1,1,Number
.,.,.,Punctuation
본,본,보다,Verb
약관,약관,약관,Noun
은,은,은,Josa
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
하고자,하고자,하다,Verb
하는,하는,하다,Verb
이용자,이용자,이용자,Noun
대해,대해,대해,Noun
서비스,서비스,서비스,Noun
화면,화면,화면,Noun
게시,게시,게시,Noun
통,통,통,Noun
하여,하여,하다,Verb
공,공,공,Modifier
지,지,지,Modifier
함,함,함,Noun
효력,효력,효력,Noun
발생,발생,발생,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
회사,회사,회사,Noun
필요하다고,필요하다고,필요하다,Adjective
인정,인정,인정,Noun
되는,되는,되다,Verb
경우,경우,경우,Noun
본,본,보다,Verb
약관,약관,약관,Noun
내용,내용,내용,Noun
은,은,은,Josa
변경,변경,변경,Noun
할,할,하다,Verb
수,수,수,Noun
있으며,있으며,있다,Adjective
",",",",",",Punctuation
변경,변경,변경,Noun
된,된,되다,Verb
경우,경우,경우,Noun
에는,에는,에는,Josa
공,공,공,Modifier
지,지,지,Modifier
사항,사항,사항,Noun
이나,이나,이나,Josa
1,1,1,Number
항,항,항,Noun
같은,같은,같다,Adjective
방법,방법,방법,Noun
또는,또는,또는,Adverb
",",",",",",Punctuation
회원,회원,회원,Noun
등록,등록,등록,Noun
한,한,한,Josa
E,E,E,Alpha
mail,mail,mail,Alpha
통해,통해,통해,Noun
내용,내용,내용,Noun
고지,고지,고지,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
3,3,3,Number
.,.,.,Punctuation
회원,회원,회원,Noun
은,은,은,Josa
변경,변경,변경,Noun
된,된,되다,Verb
약관,약관,약관,Noun
동의,동의,동의,Noun
하지,하지,하다,Verb
않을,않을,않다,Verb
경우,경우,경우,Noun
회원,회원,회원,Noun
탈퇴,탈퇴,탈퇴,Noun
요청,요청,요청,Noun
할,할,하다,Verb
수,수,수,Noun
있으며,있으며,있다,Adjective
변경,변경,변경,Noun
된,된,되다,Verb
약관,약관,약관,Noun
효력,효력,효력,Noun
발,발,발,Noun
생일,생일,생일,Noun
7일,7일,7일,Number
이후,이후,이후,Noun
에도,에도,에도,Josa
서비스,서비스,서비스,Noun
사용,사용,사용,Noun
할,할,하다,Verb
경우,경우,경우,Noun
변경,변경,변경,Noun
사항,사항,사항,Noun
동의,동의,동의,Noun
하는,하는,하다,Verb
간주,간주,간주,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
3,3,3,Number
조,조,조,Noun
약관,약관,약관,Noun
준칙,준칙,준칙,Noun
본,본,보다,Verb
약관,약관,약관,Noun
명시,명시,명시,Noun
되지,되지,되다,Verb
않은,않은,않다,Verb
사항,사항,사항,Noun
대하,대하,대하,Noun
는,는,는,Josa
회사,회사,회사,Noun
공지,공지,공지,Noun
관계,관계,관계,Noun
법령,법령,법령,Noun
전기통신,전기통신,전기통신,Noun
기본,기본,기본,Noun
법,법,법,Noun
",",",",",",Punctuation
전기통신,전기통신,전기통신,Noun
사업,사업,사업,Noun
법,법,법,Noun
",",",",",",Punctuation
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
관련,관련,관련,Noun
법규,법규,법규,Noun
정,정,정,Noun
한,한,한,Josa
바,바,바,Noun
따릅니다,따릅니다,따르다,Verb
.,.,.,Punctuation
4,4,4,Number
조,조,조,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
1,1,1,Number
.,.,.,Punctuation
이용자,이용자,이용자,Noun
는,는,는,Josa
회사,회사,회사,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
함,함,함,Noun
있어,있어,있다,Adjective
먼저,먼저,먼저,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
서비스,서비스,서비스,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
하기,하기,하다,Verb
위,위,위,Noun
해서는,해서는,하다,Verb
회원,회원,회원,Noun
