surface,normalized,dictionary,pos
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
MEDI,MEDI,MEDI,Alpha
GATE,GATE,GATE,Alpha
선생님,선생님,선생님,Noun
생일,생일,생일,Noun
축하,축하,축하,Noun
합니다,합니다,하다,Verb
생일,생일,생일,Noun
선물,선물,선물,Noun
받기,받기,받다,Verb
진행중,진행중,진행중,Noun
인,인,인,Josa
이벤트,이벤트,이벤트,Noun
진행중,진행중,진행중,Noun
인,인,인,Josa
이벤트,이벤트,이벤트,Noun
닥터,닥터,닥터,Noun
게이트,게이트,게이트,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
병원,병원,병원,Noun
경영,경영,경영,Noun
아카데미,아카데미,아카데미,Noun
MG,MG,MG,Alpha
몰,몰,몰다,Verb
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
닥터,닥터,닥터,Noun
게이트,게이트,게이트,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
병원,병원,병원,Noun
경영,경영,경영,Noun
아카데미,아카데미,아카데미,Noun
MG,MG,MG,Alpha
몰,몰,몰다,Verb
자세히,자세히,자세하다,Adjective
보기,보기,보기,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
대한,대한,대한,Noun
궁금증,궁금증,궁금증,Noun
",",",",",",Punctuation
고객,고객,고객,Noun
센터,센터,센터,Noun
풀어,풀어,풀다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
FAQ,FAQ,FAQ,Alpha
공지,공지,공지,Noun
사항,사항,사항,Noun
1:1,1:1,1:1,Number
문의,문의,문의,Noun
회원,회원,회원,Noun
인증,인증,인증,Noun
자격,자격,자격,Noun
변경,변경,변경,Noun
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
정책,정책,정책,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
MG,MG,MG,Alpha
포인트,포인트,포인트,Noun
서비스,서비스,서비스,Noun
약관,약관,약관,Noun
메일,메일,메일,Noun
정책,정책,정책,Noun
2020년,2020년,2020년,Number
11월,11월,11월,Number
2일,2일,2일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2020년,2020년,2020년,Number
4월,4월,4월,Number
1일,1일,1일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2020년,2020년,2020년,Number
2월,2월,2월,Number
5일,5일,5일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2019년,2019년,2019년,Number
7월,7월,7월,Number
15일,15일,15일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2018년,2018년,2018년,Number
8월,8월,8월,Number
6일,6일,6일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
10월,10월,10월,Number
19일,19일,19일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
8월,8월,8월,Number
18일,18일,18일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
2월,2월,2월,Number
3일,3일,3일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2013년,2013년,2013년,Number
4월,4월,4월,Number
11일,11일,11일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2009년,2009년,2009년,Number
12월,12월,12월,Number
3일,3일,3일,Number
이후,이후,이후,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
2009년,2009년,2009년,Number
12월,12월,12월,Number
2일,2일,2일,Number
적용,적용,적용,Noun
약관,약관,약관,Noun
보기,보기,보기,Noun
1조,1조,1조,Number
목적,목적,목적,Noun
주식회사,주식회사,주식회사,Noun
메,메,메,Noun
디씨,디씨,디씨,Noun
앤,앤,앤,Noun
씨,씨,씨,Suffix
이하,이하,이하,Noun
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
해,해,하다,Verb
주셔서,주셔서,주다,Verb
감사합니다,감사합니다,감사하다,Verb
.,.,.,Punctuation
본,본,보다,Verb
이용,이용,이용,Noun
약관,약관,약관,Noun
은,은,은,Josa
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
다양한,다양한,다양하다,Adjective
인터넷,인터넷,인터넷,Noun
모바일,모바일,모바일,Noun
서비스,서비스,서비스,Noun
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
서비스,서비스,서비스,Noun
",",",",",",Punctuation
개원,개원,개원,Noun
올인원,올인원,올인원,Noun
서비스,서비스,서비스,Noun
",",",",",",Punctuation
닥터,닥터,닥터,Noun
게이트,게이트,게이트,Noun
서비스,서비스,서비스,Noun
",",",",",",Punctuation
H,H,H,Alpha
LINK,LINK,LINK,Alpha
서비스,서비스,서비스,Noun
의미,의미,의미,Noun
하며,하며,하다,Verb
",",",",",",Punctuation
이하,이하,이하,Noun
해당,해당,해당,Noun
서비스,서비스,서비스,Noun
통칭,통칭,통칭,Noun
하여,하여,하다,Verb
서비스,서비스,서비스,Noun
라,라,라,Josa
함,함,함,Noun
이용,이용,이용,Noun
함,함,함,Noun
있어서,있어서,있다,Adjective
회사,회사,회사,Noun
회원,회원,회원,Noun
권리,권리,권리,Noun
",",",",",",Punctuation
의무,의무,의무,Noun
책임,책임,책임,Noun
사항,사항,사항,Noun
",",",",",",Punctuation
필요,필요,필요,Noun
사항,사항,사항,Noun
규정,규정,규정,Noun
함,함,함,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
하시거나,하시거나,하다,Verb
회원,회원,회원,Noun
가입,가입,가입,Noun
하실,하실,하다,Verb
경우,경우,경우,Noun
은,은,은,Josa
본,본,보다,Verb
약관,약관,약관,Noun
관련,관련,관련,Noun
운영,운영,운영,Noun
정책,정책,정책,Noun
확인,확인,확인,Noun
거나,거나,거나,Noun
동의,동의,동의,Noun
하게,하게,하다,Verb
되므로,되므로,되다,Verb
",",",",",",Punctuation
내,내,내,Determiner
시어,시어,시어,Noun
주의,주의,주의,Noun
깊게,깊게,깊다,Adjective
살펴봐,살펴봐,살펴보다,Verb
주,주,주,Modifier
시기,시기,시기,Noun
바랍니다,바랍니다,바라다,Verb
.,.,.,Punctuation
2조,2조,2조,Number
용어,용어,용어,Noun
정의,정의,정의,Noun
본,본,보다,Verb
약관,약관,약관,Noun
사용,사용,사용,Noun
하는,하는,하다,Verb
주요한,주요한,주요한,Noun
용어,용어,용어,Noun
정의,정의,정의,Noun
는,는,는,Josa
같습니다,같습니다,같다,Adjective
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
서비스,서비스,서비스,Noun
”,”,”,Foreign
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
구현,구현,구현,Noun
되는,되는,되다,Verb
