surface,normalized,dictionary,pos
CUCKOO,CUCKOO,CUCKOO,Alpha
Main,Main,Main,Alpha
menu,menu,menu,Alpha
Contents,Contents,Contents,Alpha
CUCKOO,CUCKOO,CUCKOO,Alpha
직,직,직,Noun
수의,수의,수의,Noun
마스터피스,마스터피스,마스터피스,Noun
인스,인스,인스,Noun
퓨어,퓨어,퓨어,Noun
직,직,직,Noun
수,수,수,Modifier
정수기,정수기,정수기,Noun
TV,TV,TV,Alpha
광고,광고,광고,Noun
런칭,런칭,런칭,Noun
1,1,1,Number
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
B,B,B,Alpha
2,2,2,Number
B,B,B,Alpha
문의,문의,문의,Noun
제품,제품,제품,Noun
대,대,대,Modifier
메뉴,메뉴,메뉴,Noun
기획전,기획전,기획전,Noun
정기,정기,정기,Noun
구독,구독,구독,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
티비,티비,티비,Noun
마이,마이,마이,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
렌탈,렌탈,렌탈,Noun
상담,상담,상담,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
이벤트,이벤트,이벤트,Noun
스토리,스토리,스토리,Noun
장바구니,장바구니,장바구니,Noun
버튼,버튼,버튼,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
몰,몰,몰다,Verb
상품,상품,상품,Noun
렌탈,렌탈,렌탈,Noun
상품,상품,상품,Noun
은,은,은,Josa
동시,동시,동시,Noun
결제,결제,결제,Noun
할,할,하다,Verb
수,수,수,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
장바구니,장바구니,장바구니,Noun
확인,확인,확인,Noun
해주세요,해주세요,해주다,Verb
.,.,.,Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
몰,몰,몰다,Verb
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
렌탈,렌탈,렌탈,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
정기,정기,정기,Noun
구독,구독,구독,Noun
관,관,관,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
장바구니,장바구니,장바구니,Noun
팝업,팝업,팝업,Noun
닫기,닫기,닫다,Verb
검색,검색,검색,Noun
버튼,버튼,버튼,Noun
삭제,삭제,삭제,Noun
검색,검색,검색,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
인기,인기,인기,Noun
검색어,검색어,검색어,Noun
인기,인기,인기,Noun
검색어,검색어,검색어,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
검색,검색,검색,Noun
팝업,팝업,팝업,Noun
닫기,닫기,닫다,Verb
카테고리,카테고리,카테고리,Noun
홈,홈,홈,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
01,01,01,Number
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
홀딩스,홀딩스,홀딩스,Noun
",",",",",",Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
",",",",",",Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
홈,홈,홈,Noun
시스,시스,시스,Noun
",",",",",",Punctuation
이하,이하,이하,Noun
회사,회사,회사,Noun
라고,라고,라고,Josa
합니다,합니다,하다,Verb
는,는,늘다,Verb
회사,회사,회사,Noun
운영,운영,운영,Noun
하는,하는,하다,Verb
사이트,사이트,사이트,Noun
이하,이하,이하,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
사이트,사이트,사이트,Noun
운영,운영,운영,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
사이트,사이트,사이트,Noun
란,란,란,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
홀딩스,홀딩스,홀딩스,Noun
",",",",",",Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
",",",",",",Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
홈,홈,홈,Noun
시스,시스,시스,Noun
운영,운영,운영,Noun
하는,하는,하다,Verb
쿠쿠브랜드사이,쿠쿠브랜드사이,쿠쿠브랜드사이,Foreign
트http://www.cuckoo.co.kr,트http://www.cuckoo.co.kr,트http://www.cuckoo.co.kr,URL
쿠쿠,쿠쿠,쿠쿠,Noun
운영,운영,운영,Noun
하는,하는,하다,Verb
쿠쿠,쿠쿠,쿠쿠,Foreign
몰http://www.cuckoomall.com,몰http://www.cuckoomall.com,몰http://www.cuckoomall.com,URL
",",",",",",Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
홈,홈,홈,Noun
시스,시스,시스,Noun
운영,운영,운영,Noun
하는,하는,하다,Verb
쿠쿠렌탈사이,쿠쿠렌탈사이,쿠쿠렌탈사이,Foreign
트http://www.cuckoorental.co.kr,트http://www.cuckoorental.co.kr,트http://www.cuckoorental.co.kr,URL
말,말,말,Noun
하며,하며,하다,Verb
쿠쿠,쿠쿠,쿠쿠,Noun
사이트,사이트,사이트,Noun
는,는,는,Josa
URL,URL,URL,Alpha
만,만,만,Noun
다를,다를,다르다,Adjective
뿐,뿐,뿐,Noun
",",",",",",Punctuation
단일,단일,단일,Noun
형태,형태,형태,Noun
사이트,사이트,사이트,Noun
